,artist,rank,song,year,lyrics
379,Ray Price,33,I've Been There Before,1968,
380,Roy Drusky,34,You Better Sit Down Kids,1968,
381,Arlene,35,He's A Good Ole Boy,1968,
382,Charley Pride,36,The Easy Part's Over,1968,"

The easy part's over now it's time to cry the easiest part of all was saying goodbye
The easy part's over now and you are gone now comes the hardest part living alone

Time is the only friend that I have left here with me
How can those healing hands of time erase your memory
The easy part's over now we've come to the end
The easy part's over now and the hard part begins

Time is the only friend that I have left here with me
How can those healing hands of time erase your memory
The easy part's over now we've come to the end
The easy part's over now and the hard part begins

"
383,Bobby Lewis,37,Ordinary Miracle,1968,
384,Van Trevor,38,Take Me Along With You,1968,
385,George Jones,39,Small Time Laboring Man,1968,"

A dollar an hour, eight hours a day
Will soon make a young man wither away
I work for my family with my wrinkled hands
For I'm a small time laboring man
Six long days each week I toil and I sweat
But on Sunday my family gives me comfort and rest
Then again Monday morning I'll make tracks in the sand
For I'm a small time laboring man
I'm a small time laboring man
Fighting against trying as hard as I can
I fight for my country with my caloused hands
For I'm a small time laboring man
Twelve long months each year my life stays the same
Making my honest dollar in the sun, snow and rain
No, you don't see my family on the starvation plan
For I'm a small time laboring man...

"
386,Connie Smith,40,Run Away Little Tears,1968,"

Run away little tears you've been locked up too long
Run away little tears our baby's gone

I look at his picture touchin' old souvenir
And then grow weak from holding back these locked up tears
Run away little tears...

A storm of emotion keeps on working within
Breaking down a heart that only he could mend
Run away little tears...
Run away little tears our baby's gone

"
387,Hugh X. Lewis,41,Evolution And The Bible,1968,
388,Jack Greene,42,You Are My Treasure,1968,"

You are my treasure and my darling I possess
The world's greater treasure the treasure of happiness
Your smiles are my pearls and your ruby lips are beyond compare
Your eyes are my diamonds and my gold is the gold in your hair
Earth has its treasure of fabulous wealth untold
And who can measure the treasure the oceans hold
But whether it be underneath the sea or the sky above
There is no treasure like the treasure of your love

There was a time when I thought I could find happiness in silver and gold
And I longed for fame and wordly acclaim
And I've hungered for these things filled my very soul
But then you came along and now I know I was wrong
For in your eyes I can see the greatest treasure in all the world
The treasure of your love for me
Earth has its treasure...

"
389,Dallas Frazier,43,The Sunshine Of My World,1968,
390,Elton Britt,44,The Jimmie Rodgers Blues,1968,
391,Wanda Jackson,45,My Baby Walked Right Out On Me,1968,"

My baby just walked right out the door he said he wasn't comin' back no more
Well I hope he's happy now he's free my baby just walked right out on me

But I saw it comin' for some time should have known he'd never be mine
Lonely nights are all that's left in sight wish I had him back with all my might
I hope he's happy I'll never be my baby just walked right out on me

But I saw it comin' for some time...
My baby just walked right out the door...
My baby just walked right out the door...

"
392,Bobby Lord,46,Live Your Life Out Loud,1968,
393,Jimmy Newman,47,Sunshine And Bluebirds,1968,
394,Warner Mack,48,I'm Gonna Move On,1968,"

(Gonna move on gonna move on loving you's all gone wrong I'm gonna move on)
Well all of my life I've been proud of this town I'm in
Cause it's a place I was born and where our love began
But every since your new love came along
This town's no place for me so I'm gonna move on
Gonna move on gonna move on I gotta find me a place where I won't be alone
Gonna move on gonna move on loving you's all gone wrong I'm gonna move on

Well I'm gonna go where the big city lights shine bright
And I won't get nearest lonely in the night
And all day I work my fingers to the bone
Then I won't always be thinkin' bout you and home
And if by chance I find that I can't hide all these memories that's locked inside
Well I'll just pack my bags and I'll be gone
Yeah I'm gonna keep on runnin' till your mem'ry's gone
Gonna move on...
Loving you's all gone wrong I'm gonna move on

"
395,Marion Worth,49,Mama Sez,1968,
396,Ray Griff,50,The Sugar From My Candy,1968,
397,Tammy Wynette,1,Singing My Song,1969,"

Here's a song I love to sing
It's about the man that wears my ring
And even though he 's tempted he knows
I'll make sure that he gets everything
Cause when he's cold he knows i'm warm
And i warm him in my arms
And when he said how i make him glad and i'm his shelter from the storm
I'm his song when he feels like singin
And i swing when he feels like swingin
I don't know what i'd do that's right but it makes him come home at night
And when he's home i make sure he's never alone
And that's why i keep singin my song
And when he's home i make sure he's never alone
And that's why i keep singin my song

"
398,George Jones,2,I'll Share My World With You,1969,"

(Ben Wilson)
(Can't you see that I'm waiting to share my world with you.)
I'll share my world with you, everything that I own
My earthly possessions, they're no good if I'm alone
Let me bring you the sunshine when it's fresh with morning dew
Can't you see that I'm waiting to share my world with you
I'll share my world with you if you'll be mine, alone
I'll give you a new heart, you're the only love it's known
Let me give you my two arms, they'll be happy if you do
Can't you see they are waiting to share my world with you
--- Instrumental ---
I'll share my world with you, everything that you see
Divide all the memories, one for you and one for me
Let me give you my two lips, they'll be smiling when you do
Can't you see they are waiting to share my world with you...

"
399,Freddy Weller,3,Games People Play,1969,"

Games People Play
Oh the games people play now
Every night and every day now
Never meaning what they say now

Never saying what they mean
So they whine away the hours
In their ivory towers
'Til they're covered up with flowers
In the back of a black limousine

[Chorus]
La da da da da la da da dada dee
I'm talking 'bout you and me
And the games people play
Oh they make one another cry

Break their hearts and they say goodbye
Cross their hearts and they hope to die
That the other was to blame
Neither one would ever give in

So they gaze at an eight by ten
Thinkin' bout the ways it might have been
And it's a dirty rotten shame

[Chorus]
People walkin' up to you
Singin' glory hallelujah
And they try to send it you
In the Name of the Lord

Oh they teach you how to meditate
Read your horoscope and teach you faith
And the further more the hell with hate
Come on and get on board

[Chorus]
Look around and tell me what you see
What's a happening to you and me
God grant me the serenity
To just remember who I am

'Cause you're givin' up your sanity
For your pride and your vanity
Turn your back on humanity
Whoa and you don't give a dah dah dah

"
400,Bill Anderson,4,My Life (Throw It Away If I Want To),1969,"

You don't understand the pattern of my life
Because my life has got no pattern
You don't see and you can't feel the wind
That's blowing at my back and saying move boy
You think this burning fever in my heart is just a folly
And I'm throwin' away my happiness by leaving you
Well, it's my life, throw it away if I want to

I've tried my best to plant my feet and stay with you
But all I feel is roots grow
And what man wants a woman who won't satisfy his heart
And soothe his ego
I sleep all day and run all night
And you tell me that that ain't right
That ain't what the husbands of your friends do
But it's my life, throw it away if I want to

You try to make me think my nonconforming life
Has colored me some evil shade
You delight and filling up my mind
With a little bits of guilt you think I oughta feel
Well I'm tired of feeling guilty and I'm tired of having nothing
And I'm throwin' away this life you've had me shackled to
It's my life, throw it away if I want to

I've tried my best to plant my feet and stay with you
But all I feel is roots grow
And what man wants a woman who won't satisfy his heart
And soothe his ego
I sleep all day and run all night
And you tell me that that ain't right
That ain't what the husbands of your friends do
But it's my life, throw it away if I want to...

"
401,Bobby Bare,5,(Margie's At) The Lincoln Park Inn,1969,"

My names in the paper where I took the Boy Scouts to hike
My hands are all dirty from working on my little boy’s bike
The preacher came by and I talked for a minute with him
My wife’s in the kitchen and Margie is at the Lincoln Park Inn

And I know why she’s there I’ve been there before
But I made a promise that I wouldn’t cheat anymore
I try to ignore it but I know she’s in there my friend
My mind’s on a number and Margie is at the Lincoln Park Inn

Next Sunday it’s my turn to speak to the young peoples' class
And they expect answers to all the questions they ask
What would they say if I spoke on a modern day sin?
And all of the Margie’s and all of the Lincoln Park Inns

The bike is all fixed and my little boy’s in bed asleep
His little warm puppy is curled in a ball at my feet
My wife’s baking cookies to feed to the bridge club again
I’m almost out of cigarettes and Margie is at the Lincoln Park Inn
And I know why she’s there

"
402,Billie Jo Spears,6,Mr. Walker  It's All Over,1969,"

I left Garden City Kansas with a ticket and a yen to see New York
I typed eigty words a minute so your corporation let me go to work
I fetch paper clips and coffee even help you dodge your domineering wife
Mr Walker it's all over I don't like the New York secretary's life

In this building there's a crowd of guys with old familiar thoughts upon their minds
That's a lot of hands a reaching out you grab the things that I consider mine
And the president persues me even though he's old and hair a turnin' white
Mr Walker it's all over I don't like the New York secretary's life

There's a flat in Greenwich Village that I took because the subway wasn't far
But a trumpet player's upstairs and below me ther's a jumping all night bar
And to frost a bitter cake I have to share the place with bugs and big ol' mice
Mr Walker it's all over I don't like the New York secretary's life

Your sweetheart in personnel said I should give her written notice like the rest
So I wrote goodbye with my brightest lipstick right across her big expensive desk
You'd better call the Times and tell 'em put your wanted ad right back in classified
Mr Walker it's all over I don't like the New York secretary's life

There's a Greyhound at the station and a mom at home with open arms for me
Garden City's looking better every minute now since I have learned to see
And the boy next door don't know it but come June he's gonna gain himself a wife
Mr Walker it's all over I don't like the New York secretary's life
Mr Walker it's all over I don't like the New York secretary's life
Mr Walker it's all over I don't like the New York secretary's life

"
403,Jim Reeves,7,When Two Worlds Collide,1969,"

(Written by Roger Miller and Bill Anderson)

Your world was so different
From mine don't you see
We just couldn't be close
Though we tried

We both reached for heavens
But ours weren't the same
That's what happens
When two worlds collide

Your world was made up
Of things sweet and good
My world could never
Fit in, wish it could

Two hearts lie in shambles
And oh. how they've cried
That's what happens
When two worlds collide

--- Instrumental ---

Your world was made up
Of things sweet and good
My world could never
Fit in, wish it could

Two hearts lie in shambles
And oh. how they've cried
That's what happens
When two worlds collide...

"
404,Jeannie C. Riley,8,There Never Was A Time,1969,"

There was a time
We'd sit in the backyard 'cause the house would get so hot
From the summer sun
There was no way of sleeping
And you'd play your old guitar
We'd fight mosquitos and enjoy

You backyard concerts for we had no television
We'd just begun our life
As man and wife and hardships then
Could scarcely scare us into quitting

Things were far from being fine
We often dined upon a dime
But there never was a time we didn't love

And that Christmas brought our saddest days
When your pride gave way when you told the kids
There'd be no gifts cause we were broke
Though their little tears of grief were so hard to see
It didn't hurt me

Like the lump I knew was in your throat
It was then with arms entwined
We both broke down and cried
For it seemed like nothing good would ever come
The doctor bills we couldn't pay
They came and took our car away
But there never was a time we didn't love

Now there's an easy chair for my back
A satin pillow for my head
And the kids are wild about the brand new car
You and I can order steak with all the trimmings and not worry

If we've spent a dollar more than we can spare
No wonder in our prayers
We've thanked the man upstairs who led us through
The years of raising kids and paying bills

And I think he guided us
Not because we were smart but just because
There never was a time we didn't love
No there never was a time never was a time
There never was a time we didn't love

"
405,Johnny Bush,9,You Gave Me A Mountain,1969,
406,Eddy Arnold,10,Please Don't Go,1969,"

(Les Reed - J. Rae)

Please don't go, I beg you don't go
For I need you here with me
If we part down deep in my heart
I know what the end will be

No one else can take your place
The love that I have known
If I don't see your sweet face
My life I'll live alone

Stay here with me
That's the way it should be
The world can see
That I can't set you free

Just this once I beg you this once
Forgive for what I've done
I adore you, I was meant for you
Much more than anyone

Darling, I love you so
More than you seemed to know
Say you would meet
Please don't go...

"
407,Tompall & The Glaser Brothers,11,California Girl (And The Tennessee Square),1969,
408,Dave Dudley,12,One More Mile,1969,"

One more mile one more detour that's the way goes tears and smiles
I may miss you and I may wish that I have stayed but I'll be movin' it one more mile
And then one more I gotta keep moving I was born a traveling child
It's my way and it's the nature of my mind I gotta keep doggin' it one more mile

Storms won't stop me wind won't do it a little rough ride that fits my style
When the sun sets in the window of your world I'll be draggin' it one more mile
And then one more I gotta keep moving...
(One more mile)
One more mile one more detour...

"
409,Doug Kershaw With Hank Williams  Jr.,13,Cajun Baby,1969,
410,Sonny James,14,Running Bear,1969,"

[Verse 1:]
On the bank of the river stood Running Bear, young Indian brave
On the other side of the river stood his lovely Indian maid
Little White Dove was her name, such a lovely sight to see
But their tribes fought with each other, so their love could never be

[Chorus:]
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die
He couldn't swim the raging river 'cause the river was too wide
He couldn't reach the Little White Dove waiting on the other side
In the moonlight he could see her throwing kisses 'cross the waves
Her little heart was beating faster waiting for her Indian brave

[Chorus:]

[Verse 2:]
Running Bear dove in the water, Little White Dove did the same
And they swam out to each other through the swirling stream they came
As their hands touched and their lips met, the raging river pulled them down
Now they'll always be together in their happy hunting ground

[Chorus:]

"
411,Merle Haggard,15,Hungry Eyes,1969,"

[Verse 1]
A canvas covered cabin in a crowded labor camp
Stand out in this memory I revived
Because my daddy raised a family there, with two hard working hands
And tried to feed my mama's hungry eyes
He dreamed of something better, and my mama's faith was strong
And us kids were just too young to realize
That another class of people put us somewhere just below
One more reason for my mama's hungry eyes

[Chorus]
Mama never had the luxuries she wanted
But it wasn't cause my daddy didn't try
She only wanted things she really needed
One more reason for my mama's hungry eyes

[Verse 2]
I remember daddy praying for a better way of life
But I don't recall a change of any size
Just a little loss of courage, as their age began to show
And more sadness in my mama's hungry eyes

[Chorus]
Mama never had the luxuries she wanted
But it wasn't cause my daddy didn't try
She only wanted things she really needed
One more reason for my mama's hungry eyes
Oh, I still recall my mama's hungry eyes

"
412,Conway Twitty,16,I Love You More Today,1969,"

I want you more than anything in the world
You mean more to me than any other girl
Now he's with you and things you do with him
We've done them for so long
I love you more today, than he can from now on

I've kissed your tears away when you were sad
Held you close, felt your warm love when you were glad
So, no matter how much love he has for you or how long
I love you more today, than he can from now on

We've already done the things he plans to do
So don't be surprised if late at night
I'm in your dreams with you
And if someday his love for goes wrong
I love you more today, than he can from now on

I love you more today, than he can from now on...

"
413,Dottie West,17,Rings Of Gold,1969,
414,Glen Campbell,18,Galveston,1969,"

Galveston, oh Galveston, I still hear your sea winds blowin'
I still see her dark eyes glowin'
She was twenty-one when I left Galveston

Galveston, oh Galveston, I still hear your sea waves crashing
While I watch the cannons flashing
I clean my gun and dream of Galveston

I still see her standing by the water
Standing there lookin' out to sea
And is she waiting there for me?
On the beach where we used to run

Galveston, oh Galveston, I am so afraid of dying
Before I dry the tears she's crying
Before I watch your sea birds flying in the sun
At Galveston, at Galveston

"
415,Dolly Parton,19,Yours Love,1969,"

May the fruit of my toil be yours love
May the food from my soil be yours love
And from this moment on may a love that is strong
That lives on and on be yours love

May the sons that I raise be yours love
May the comforts I praise be yours love
If I ever get weak may the love words I speak
And the arms that I seek be yours love

May the Lord's shining grace be yours love
May the happiest face be yours love
May the last fingertips that touch these two lips
As life from me slips be yours love

And from this moment on may a love that is strong
That lives on and on be yours love

"
416,Jerry Reed,20,There's Better Things In Life,1969,
417,Wynn Stewart,21,Let The Whole World Sing It With Me,1969,"

Fill my life with a song a happy happy song
And let the whole world sing it with me
As long as you're mine there's happiness in every line
And that's the way that our love will always be
When you smile you turn all the rain a sunshine
When you laugh it's like a pretty melody
So fill my life with a song a happy happy song
And let the whole world sing it with me
[ guitar - steel ]
Fill my life with a song a happy happy song...
Just let the whole world sing it with me

"
418,Johnny Darrell,22,Why You Been Gone So Long,1969,"

Every time it rains Lard I run to my window
All I do is ring my hands and moan
Listen to that thunder roll and I can hear that lonesome wind blow
Tell me baby why you been gone so long
Tell me baby why you been gone so long you been gone so long now
Tell me baby why you been gone so long
Wolf is scratching at my door and I can hear that lonesome wind moan
Tell me baby why you been gone so long
Someone said they thought they saw you roaring down in Reno
With a big oil man from San Antone
They tell me I'm a fool to pine for you but what do they know
Tell me baby why you been gone so long
Tell me baby why you been gone so long...
There ain't nothing I wanna do oh I guess I could get stoned
And let the past paint pictures on my head
Kill a fifth of Thunderbird and try to write a sad song
Tell me baby why you been gone so long
Tell me baby why you been gone so long...
Tell me baby why you been gone so long

"
419,Mel Tillis,23,Old Faithful,1969,"

I always called her old faithful she was always there when I came home
And I never thought the day would come she'd leave me
But for me those kind of thinking days are gone
Cause old faithful ain't faithful anymore she's stepping out to even up the score
She's out there where the lights are bright wineing dining every night
And old faithful ain't faithful anymore

Night after night she sits waitin' just to touch the fool that she loves so
But now for her those waiting days are over
For absence makes the warmest heart grow cold
Cause old faithful ain't faithful...
And old faithful ain't faithful anymore

"
420,Leon Ashley,24,Walkin' Back To Birmingham,1969,
421,Ray Price,25,Sweetheart Of The Year,1969,"

You're wonderin' just what I'll do
Now that it's over and done
Well, that's something to think about
And I've already begun
I suppose that I'll find a way
People usually do
Well, it's something to think about
I'll be lost without you
One thing I would have you do
Please consider the dawn
The dawn of your lonelier years
When youth an' beauty are gone
And when you can no longer have
Any sweetheart that you choose
Here's something to think about
I'll still be thinking of you
One thing I would have you do
Please consider the dawn
The dawn of your lonelier years
When youth an' beauty are gone
And when you can no longer have
Any sweetheart you choose
Here's something to think about
I'll still be thinkin' of you

"
422,Bobby Goldsboro,26,I'm A Drifter,1969,"

You knew I could not stay for long when you asked me
To come over in the wee hours of the mornin

I said I could not let the sunrise catch me sleepin
And that is why I've givin you fair warnin

And though you might have loved me like I never ever have been
Loved before your front door is open
And I've got to keep on movin

So I will stay with you a while and then I'll
Let my hitch hike thumb take me to where I wanna

Because I've got to keep on searchin for the dream that I've been seekin
Since I left my home in Oklahoma

And who's to say but that I might not be back tomorrow
If I find there's only sorrow you may see me from your windowsill
Next mornin

I'm a drifter and I've seen the rain
I'm a drifter and I've felt the pain, the pain that comes with loneliness
So I drift from town to town searchin all around
Lookin for the answer to my sorrow
And if the answer is you then I'll be back tomorrow

Lets make the most of time before the break of day
But don't try to make me stay if I don't want to

Because I've got to keep on searchin for that dream
And you can't bind me with the simple words I love you

But if I realize the dream that I've been searchin for
Is waitin here behind your door
Then I'll come back to stay if you still want me to

I'm a drifter and I've seen the rain
I'm a drifter and I've felt the pain the pain that comes with loneliness
So I drift from town to town searchin all around
Lookin for the answer to my sorrow
And if the answer is you then I'll be back tomorrow

I'm a drifter and I've seen the rain
I'm a drifter and I've felt the pain the pain that comes with loneliness
So I drift from town to town searchin all around
Lookin for the answer to my sorrow
And if the answer is you then I'll be back tomorrow

I'm a drifter 'fade

"
423,Warner Mack,27,Leave My Dream Alone,1969,"

[Chorus]
Leave my dream alone get you a little lover of your own
Stop messin' round where you don't belong
You'd better leave my dream alone

[Verse 1]
I've been a watchin' your big flirty eyes how they water when my baby walks by
And I ain't a takin' to your way of thinkin' while you're checkin' out my behalf
I've seen your kind so many times how they strike and then they're gone
Now I ain't a teasin' quite messin' with my pleasin' and leave my dream alone

[Chorus]
Leave my dream alone get you a little lover of your own
Stop messin' round where you don't belong
You'd better leave my dream alone

[Verse 2]
Now I got plans for me and my sweetie and buddie they don't include you
Listen to me talkin' you'd better start walkin' 'cause I ain't no kind of fool
I love my honey like a thief love's money and a hound dog loves his bone
So you'd better part with messin' with my heart and leave my dream alone

[Chorus]
Leave my dream alone get you a little lover of your own
Stop messin' round where you don't belong
You'd better leave my dream alone
Stop messin' round where you don't belong
You'd better leave my dream alone

"
424,Jack Greene,28,Statue Of A Fool,1969,"

Somewhere there should be for all the world to see
A statue of a fool made of stone
An image of a man who let love slip through his hands
And then just let him stand there all alone

And there on his face, a gold tear should be placed
To honor the million tears he's cried
And the hurt in his eyes would show, so everyone would know
Concealed is a broken heart inside

So, build a statue and oh build it high so that all can see
Then inscribe: The World's Greatest Fool, and name it after me

"
425,Billy Walker,29,Smoky Places,1969,"

Meeting in smoky places hiding in shadowy corners
Dancing where no one knows our faces
Sharing love stolen in the night in smoky places

Oh how I cried on your wedding day
Oh yes I thought that my heart would break
Now you regret your wedding day
You're paying now for your mistakes

We’re meeting in smoky places hiding in shadowy corners
We're dancing where no one knows our faces
Sharing love stolen in the night in smoky places

We're dancing where no one knows our faces
Sharing love stolen in the night in smoky places

"
426,Charlie Louvin,30,Let's Put Our World Back Together,1969,
427,George Morgan,31,Like A Bird,1969,
428,Don Gibson,32,Solitary,1969,
429,Glen Campbell,33,Where's The Playground Susie,1969,"

The end has come and found us here
With our toys scattered all around us here
The puzzle that we never found an answer for
Still asks us, darlin', just what all the games were for
And here we stand in a box of sand

Where's the playground Susie?
You're the one who's supposed to know her way around
Where's the playground Susie
If I don't stay around?
If I don't stay around?

The carousel has stopped us here
It twirled a time or two and then it dropped us here
And still you're not content with something about me
But what merry-go-round can you ride without me
To take your hand?
How would you stand?

Where's the playground Susie
If I decide to let you go and play around?
Where's the playground Susie
If I don't stay around?
If I don't stay around?

Where's the playground Susie?
You're the one who's supposed to know her way around
Where's the playground Susie
If I decide to let you go and play around?

"
430,Jim Ed Brown,34,Man And Wife Time,1969,"

Another day is over
Hard work and play comes to an end
Evening shadows grow long and strong
As the dawn of night begins

Supper's over, prayers are said
The kids are tucked in and that's when
Gentle arms serve me love and peace of mind
It's man and wife time

I lay beside her and I realize
I am such a lucky man
For I've got everything that life
Has to offer in my hands

And I'm happy deep within
As I hold her in my hands
And she knows she's mine and only mine
At man and wife time

God has given me an angel for my very own
And she's brought a bit of heaven to my life
She's filled our home with love
She's taught our children right from wrong
And loved me so completely as my wife

The years go by like hours
And silver creeps into her hair
But the love in her eyes survives
Never dies, it's always there

Reassuring, telling me time has handled
With care what we share
And heaven can't offer more than what I find
At man and wife time

Man and wife time
Man and wife time

"
431,Connie Smith,35,Ribbon Of Darkness,1969,"

Ribbon of darkness over me since my true love walked out the door
Tears I never had before ribbon of darkness over me
Clouds're gathering o'er my head they chill the day and hide the sun
And shroud the night when day is done ribbon of darkness over me
Rain is fallin' on the meadow where once my love and I did lie
Now he is gone from the meadow my love goodbye
Ribbon of darkness over me where once the world was young as spring
Where clouds're bloomin' birds were would sing ribbon of darkness over me

In this cold room lying don't wanna see no one but you
Lord I wish I could be dying to forget you
How I wish your heart could see my mind just takes the breaks of day
Come on back and take away ribbon of darkness over me
La da da da dee de dee la da da da dee de dee
Hmm hmm hmm ribbon of darkness over me

"
432,Loretta Lynn,36,Woman Of The World (Leave My World Alone),1969,"

[Verse 1]
You came from the city streets
To my little country town
Your spell is on my baby
And you've got me sorrow bound
You don't really love him
You're playing 'round for fun
Woman of the world, leave my world alone

[Chorus]
You're the devil's woman
That's what my man don't know
Why I wear more in swimming
Than you wear to parties where you go
There's a place I know where you should go
For that's where you belong
Woman of the world, leave my world alone

[Verse 2]
I don't know about the things
The bright lights taught to you
My country boy don't know them
Any better than I do
I'll have to watch him hurting
After you are gone
Woman of the world, leave my world alone

[Chorus]
You're the devil's woman
That's what my man don't know
Why I wear more in swimming
Than you wear to parties where you go
There's a place I know where you should go
For that's where you belong
Woman of the world, leave my world alone

"
433,Del Reeves,37,Be Glad,1969,"

Be glad you've got what you've got when you've got it
Or you're gonna find out what you've got is gone
Make sure you know what you know when you know it
Or before you know it you'll be all alone

Take care what you do when you do if you do it
If you don't you won't have your baby long
Be glad you've got what you've got when you've got it
Or you're gonna find that what you've got is gone

Everybody envies you you lucky so and so
You should thank your lucky stars above
Just what she sees in you I guess I'll never know
It's a wonder you still have her love

Be glad you've got...

You'd better treat her better you'd better start right now
She deserves the best that you can do
She does everything for you the best that she knows how
That's the least she can expect from you

Be glad you've got...
Or you're gonna find that what you've got is gone

"
434,Johnny Carver,38,Sweet Wine,1969,
435,Buck Owens,39,Johnny B. Goode,1969,"

Deep down in Lousiana, close to New Orleans
Back up in the woods among the evergreens
There stood an old cabin made of earth and wood
Where lived a country boy named Johnny B.Goode
Who'd never, ever learned to read or write, so well
But he could play a guitar just like a ringin' a bell
Go, go, go, Johnny go, go
Go Johnny go, go, go, Johnny go
Go, go, go, go, Johnny go
Go, go, Johnny B Goode

He used to carry his guitar in a gunny sack
Sit beside the tree by the railroad track
The engineer would see him sittin' in the shade
Listen to the rhythm that the drivers made
The people comin' by they would stop and say
Oh, my but that little country boy could play
Go, go, go, Johnny go, go
Go, Johnny go, go, go, Johnny go
Go, go, Johnny B Goode

--- Instrumental ---

His mama told him someday you will be a man
And you will be the leader of a big old band
Many people come from miles around
To hear you play your music till the sun goes down
Maybe someday your name will be in lights
A sayin' Johnny B Goode tonight
Go, go, go, Johnny go, go
Go, Johnny go, go, go, Johnny go
Go, go, Johnny B Goode...

"
436,Dolly Parton,40,Daddy,1969,"

[Verse 1]
Daddy I feel that I must talk to you
Are you sure this is what you want to do?
Now it's not for us kids that I beg you to stay
Please don't just walk out on Mama this way
She's mothered your children, she's spent her whole life
Trying to be a good mother and wife
And she stood by you when the rest let you down
Daddy, how can you walk out on her now?

[Verse 2]
I'm your oldest daughter, my age twenty-three
Your new love is even younger than me
She's young, she's pretty, her hands soft as dew
While Mama's are withered from working for you

[Verse 3]
Mom's not young any more like your new love
But your new love won't love you like my mama does
You've taken her best years, so don't leave her now
Please, Daddy say that you won't let her down

"
437,Billy Mize,41,Make It Rain,1969,
438,Jack Reno,42,I'm A Good Man (In A Bad Frame Of Mind),1969,
439,Claude King,43,All For The Love Of A Girl,1969,
440,Jeannie Seely,44,Just Enough To Start Me Dreamin',1969,
441,Tom T. Hall,45,Strawberry Farms,1969,"

[Chorus:]
Summer comes laughing to Strawberry Farms
Have you ever been there, where the wind never blows
Summer comes early to Strawberry Farms
Oh the sun always shines, but an orphan can't go

[Verse 1:]
My mother is dead, she doesn't care where I go
My father left a long, long time ago
I had me a frog, he never whined or cried
I kept him in my pocket and he died
Summer comes laughing to Strawberry Farms
Have you ever been there, where the wind never blows
Summer comes early to Strawberry Farms
Oh the sun always shines, but an orphan can't go
Bobby had a brother, he got killed in the war
I asked him but he didn't know what for
My mother was pretty, she had long black hair
Once, she promised me a teddy bear

[Chorus:]
Summer comes laughing to Strawberry Farms
Have you ever been there, where the wind never blows
Summer comes early to Strawberry Farms
Oh the sun always shines, and things don't die

"
442,Norma Jean,46,Dusty Road,1969,
443,Arlene,47,Too Much Of A Man (To Be Tied Down),1969,
444,Jerry Lee Lewis,48,One Has My Name (The Other Has My Heart),1969,"

One has my name, and the other has my heart
With one I'll remain, that's how my heartaches start
One has brown eyes, the other's eyes are blue
To one I am tied, to the other I am true

One has my love, and the other only me
But what, good is love, to an old heart that can't be free
So I'll go on living, my life just the same
While one has my heart, the other has my name

""Ah,one has my name , the other has my heart
With one I'll remain, ah that's how my old heartaches start
You know ones got brown eyes, and the other's eyes are blue
To one I am tied, to the other I guess I'll have to be true""

One that has my love, and the other only me
But what good is love, to a heart that can't be free
If I could live over, my life I would change
The one who has my heart, also would have my name

"
445,Waylon Jennings,49,Delia's Gone,1969,"

Delia, oh Delia, where have you been so long?
If buddy's talkin' 'bout Delia they say she's done me wrong
They took my Delia to the graveyard, took her in a long black hearse
If I hadn't shot my poor Delia I believe she'd have got me first
Delia's gone
Went down to the graveyard to look at my Delia's face
I said, â€½Delia girl how I love you and I wish I could take your placeâ€
Jailer, oh jailer, tell me how can I sleep
When all around my bedside I hear little Delia's feet?
Delia's gone
Some gave Delia a dollar, some gave her two or three
But I didn't give Delia a penny 'cause she belonged to me
Delia's gone, Delia's gone

"
446,Carl Smith,50,Good Deal  Lucille,1969,
447,Sonny James,1,My Love,1970,"

My love is warmer than the warmest sunshine softer than a sigh
My love is deeper than the deepest ocean wider than the sky
My love is brighter than the brightest star that shines every night above
And there is nothing in this world that could ever change my love

Something happened to my heart the day that I met you
Something that I never felt before
You are always on my mind no matter what I do
And every day it seems I want you more
My love is warmer...

Once I thought that love was meant for anyone else but me
Once I thought you'd never come my way
Now it only goes to show how wrong we all can be
For now I have to tell you every day
My love is warmer...

"
448,Conway Twitty,2,Hello Darlin',1970,"

Hello Darlin'
Nice to see you
It's been a long time
You're just as lovely
As you used to be

How's your new love
Are you happy
Hope your doin' fine
Just to know it
Means so much to me

What's that Darlin'
How am I doin'
Guess I'm doin' alright
Except I can't sleep
And I cry all night 'til dawn

What I'm trying to say
Is I love you and I miss you
And I'm so sorry
That I did you wrong

Look up Darlin'
Let me kiss you
Just for old time sake
Let me hold you
In my arms one more time

Thank you Darlin'
May God bless you
And may each step you take
Bring you closer
To the things you seem to find

Goodbye Darlin'
Gotta go now
Gotta try to find a way
To lose these memories
Of a love so warm and true

And if you should ever find it
In your heart to forgive me
Come back Darlin'
I'll be waitin' for you...

"
